state,district,year,rape,kidnapping_and_abduction,dowry_death,molestation,sexual_harrassment,cruelty_by_husband_or_relatives,population,literacy_rate,sex_ratio,rural,urban,crime_rate_real
ANDHRA PRADESH,ADILABAD,2001,50,30,16,149,34,175,24.88,52.68,989,72.27,27.73,18.24758842
ANDHRA PRADESH,ADILABAD,2002,37,32,20,174,63,240,24.88,52.68,989,72.27,27.73,22.74919614
ANDHRA PRADESH,ADILABAD,2003,35,16,11,141,39,238,24.88,52.68,989,72.27,27.73,19.2926045
ANDHRA PRADESH,ADILABAD,2004,50,42,14,135,71,296,24.88,52.68,989,72.27,27.73,24.43729904
ANDHRA PRADESH,ADILABAD,2005,53,46,21,144,77,280,24.88,52.68,989,72.27,27.73,24.95980707
ANDHRA PRADESH,ADILABAD,2006,64,71,22,185,107,423,24.88,52.68,989,72.27,27.73,35.04823151
ANDHRA PRADESH,ADILABAD,2007,46,72,21,156,133,335,24.88,52.68,989,72.27,27.73,30.66720257
ANDHRA PRADESH,ADILABAD,2008,50,26,5,174,103,355,24.88,52.68,989,72.27,27.73,28.65755627
ANDHRA PRADESH,ADILABAD,2009,67,56,13,192,163,428,24.88,52.68,989,72.27,27.73,36.93729904
ANDHRA PRADESH,ADILABAD,2010,48,48,18,133,155,429,24.88,52.68,989,72.27,27.73,33.40032154
ANDHRA PRADESH,ADILABAD,2011,84,70,20,112,142,429,27.41,61.01,1001,72.27,27.73,31.26596133
ANDHRA PRADESH,ADILABAD,2012,88,61,7,90,155,498,27.41,61.01,1001,72.27,27.73,32.79824881
ANDHRA PRADESH,ADILABAD,2013,61,47,12,197,138,464,27.41,61.01,1001,72.27,27.73,33.52790952
ANDHRA PRADESH,ANANTAPUR,2001,23,30,7,118,24,154,36.4,56.13,958,71.93,28.07,9.78021978
ANDHRA PRADESH,ANANTAPUR,2002,28,49,9,179,37,151,36.4,56.13,958,71.93,28.07,12.44505495
ANDHRA PRADESH,ANANTAPUR,2003,19,45,4,224,45,146,36.4,56.13,958,71.93,28.07,13.26923077
ANDHRA PRADESH,ANANTAPUR,2004,20,31,11,196,50,147,36.4,56.13,958,71.93,28.07,12.5
ANDHRA PRADESH,ANANTAPUR,2005,16,30,12,173,57,137,36.4,56.13,958,71.93,28.07,11.67582418
ANDHRA PRADESH,ANANTAPUR,2006,16,32,16,187,11,189,36.4,56.13,958,71.93,28.07,12.39010989
ANDHRA PRADESH,ANANTAPUR,2007,31,35,14,176,194,0,36.4,56.13,958,71.93,28.07,12.36263736
ANDHRA PRADESH,ANANTAPUR,2008,37,36,12,133,132,0,36.4,56.13,958,71.93,28.07,9.615384615
ANDHRA PRADESH,ANANTAPUR,2009,22,60,14,157,13,143,36.4,56.13,958,71.93,28.07,11.23626374
ANDHRA PRADESH,ANANTAPUR,2010,20,60,20,132,35,250,36.4,56.13,958,71.93,28.07,14.2032967
ANDHRA PRADESH,ANANTAPUR,2011,16,83,36,156,16,198,40.81,63.57,977,71.93,28.07,12.37441803
ANDHRA PRADESH,ANANTAPUR,2012,18,63,19,195,8,130,40.81,63.57,977,71.93,28.07,10.61014457
ANDHRA PRADESH,ANANTAPUR,2013,28,84,23,337,43,161,40.81,63.57,977,71.93,28.07,16.56456751
ANDHRA PRADESH,CHITTOOR,2001,27,34,14,112,83,186,37.46,66.77,982,70.5,29.5,12.17298452
ANDHRA PRADESH,CHITTOOR,2002,28,39,16,126,40,188,37.46,66.77,982,70.5,29.5,11.66577683
ANDHRA PRADESH,CHITTOOR,2003,36,34,23,121,173,60,37.46,66.77,982,70.5,29.5,11.93272824
ANDHRA PRADESH,CHITTOOR,2004,28,27,22,116,197,234,37.46,66.77,982,70.5,29.5,16.65776829
ANDHRA PRADESH,CHITTOOR,2005,35,58,9,91,223,202,37.46,66.77,982,70.5,29.5,16.49759744
ANDHRA PRADESH,CHITTOOR,2006,31,37,18,123,190,249,37.46,66.77,982,70.5,29.5,17.29845168
ANDHRA PRADESH,CHITTOOR,2007,31,47,25,118,197,395,37.46,66.77,982,70.5,29.5,21.70315003
ANDHRA PRADESH,CHITTOOR,2008,30,57,26,104,250,288,37.46,66.77,982,70.5,29.5,20.15483182
ANDHRA PRADESH,CHITTOOR,2009,33,46,19,120,268,333,37.46,66.77,982,70.5,29.5,21.86332088
ANDHRA PRADESH,CHITTOOR,2010,54,71,37,174,146,473,37.46,66.77,982,70.5,29.5,25.49386012
ANDHRA PRADESH,CHITTOOR,2011,27,48,30,164,175,533,41.74,71.53,997,70.5,29.5,23.40680402
ANDHRA PRADESH,CHITTOOR,2012,40,63,39,111,280,435,41.74,71.53,997,70.5,29.5,23.19118352
ANDHRA PRADESH,CHITTOOR,2013,41,42,20,164,115,568,41.74,71.53,997,70.5,29.5,22.7599425
ANDHRA PRADESH,EAST GODAVARI,2001,23,26,12,109,58,247,49.01,65.48,993,74.51,25.49,9.691899612
ANDHRA PRADESH,EAST GODAVARI,2002,25,5,11,108,73,276,49.01,65.48,993,74.51,25.49,10.16119159
ANDHRA PRADESH,EAST GODAVARI,2003,18,35,11,150,110,357,49.01,65.48,993,74.51,25.49,13.89512344
ANDHRA PRADESH,EAST GODAVARI,2004,31,23,13,112,105,293,49.01,65.48,993,74.51,25.49,11.77310753
ANDHRA PRADESH,EAST GODAVARI,2005,27,3,15,102,119,368,49.01,65.48,993,74.51,25.49,12.93613548
ANDHRA PRADESH,EAST GODAVARI,2006,41,28,25,173,107,465,49.01,65.48,993,74.51,25.49,17.11895532
ANDHRA PRADESH,EAST GODAVARI,2007,30,64,19,159,131,561,49.01,65.48,993,74.51,25.49,19.66945521
ANDHRA PRADESH,EAST GODAVARI,2008,48,13,23,194,131,563,49.01,65.48,993,74.51,25.49,19.83268721
ANDHRA PRADESH,EAST GODAVARI,2009,47,60,23,196,178,440,49.01,65.48,993,74.51,25.49,19.26137523
ANDHRA PRADESH,EAST GODAVARI,2010,76,42,24,240,227,342,49.01,65.48,993,74.51,25.49,19.40420322
ANDHRA PRADESH,EAST GODAVARI,2011,87,79,20,220,258,764,51.54,70.99,1006,74.51,25.49,27.70663562
ANDHRA PRADESH,EAST GODAVARI,2012,84,45,20,297,195,719,51.54,70.99,1006,74.51,25.49,26.38727202
ANDHRA PRADESH,EAST GODAVARI,2013,88,37,17,419,290,692,51.54,70.99,1006,74.51,25.49,29.9379123
ANDHRA PRADESH,GUNTUR,2001,54,51,7,139,129,378,44.65,62.54,984,66.19,33.81,16.97648376
ANDHRA PRADESH,GUNTUR,2002,46,71,13,186,85,434,44.65,62.54,984,66.19,33.81,18.70100784
ANDHRA PRADESH,GUNTUR,2003,46,77,22,228,99,399,44.65,62.54,984,66.19,33.81,19.50727884
ANDHRA PRADESH,GUNTUR,2004,46,60,32,186,104,397,44.65,62.54,984,66.19,33.81,18.47704367
ANDHRA PRADESH,GUNTUR,2005,55,56,16,166,203,366,44.65,62.54,984,66.19,33.81,19.30571109
ANDHRA PRADESH,GUNTUR,2006,47,35,15,281,236,427,44.65,62.54,984,66.19,33.81,23.31466965
ANDHRA PRADESH,GUNTUR,2007,43,79,28,292,214,569,44.65,62.54,984,66.19,33.81,27.4356103
ANDHRA PRADESH,GUNTUR,2008,48,65,26,306,99,496,44.65,62.54,984,66.19,33.81,23.29227324
ANDHRA PRADESH,GUNTUR,2009,40,62,26,340,451,720,44.65,62.54,984,66.19,33.81,36.70772676
ANDHRA PRADESH,GUNTUR,2010,150,132,99,990,1389,2103,44.65,62.54,984,66.19,33.81,108.9137738
ANDHRA PRADESH,GUNTUR,2011,73,85,14,309,251,889,48.88,67.4,1003,66.19,33.81,33.16284779
ANDHRA PRADESH,GUNTUR,2012,47,85,30,336,166,1343,48.88,67.4,1003,66.19,33.81,41.05973813
